Date,Open,High,Low,Close,Adj Close,Volume
17-12-2019,41052.35938,41401.64844,41005.17969,41352.17188,41352.17188,19000
18-12-2019,41442.75,41614.76953,41358.46875,41558.57031,41558.57031,24300
19-12-2019,41571.82031,41719.28906,41456.39844,41673.92188,41673.92188,33300
20-12-2019,41746.19922,41809.96094,41636.10938,41681.53906,41681.53906,33600
23-12-2019,41548.26172,41701.62109,41474.60938,41642.66016,41642.66016,6200
24-12-2019,41684.51172,41702.98047,41423.07031,41461.26172,41461.26172,4400
26-12-2019,41543.80078,41543.80078,41132.89063,41163.76172,41163.76172,5600
27-12-2019,41297.07813,41611.26953,41264.92188,41575.14063,41575.14063,6100
30-12-2019,41686.26953,41714.73047,41453.37891,41558,41558,5700
31-12-2019,41607.48828,41607.48828,41184.73047,41253.73828,41253.73828,5600
01-01-2020,null,null,null,null,null,null
02-01-2020,41340.26953,41649.28906,41328.44922,41626.64063,41626.64063,5300
03-01-2020,41634.51172,41636.17969,41348.67969,41464.60938,41464.60938,8900
06-01-2020,41378.33984,41378.33984,40613.96094,40676.62891,40676.62891,8700
07-01-2020,40983.03906,41230.14063,40727.37109,40869.46875,40869.46875,11900
08-01-2020,40574.82813,40866.35938,40476.55078,40817.73828,40817.73828,18200
09-01-2020,41216.67188,41482.12109,41175.71875,41452.35156,41452.35156,7800
10-01-2020,41568.19922,41775.10938,41447.80078,41599.71875,41599.71875,13200
13-01-2020,41788.21094,41899.62891,41720.76172,41859.69141,41859.69141,10600
14-01-2020,41883.08984,41994.26172,41770.89844,41952.62891,41952.62891,14100
15-01-2020,41969.85938,41969.85938,41648.10938,41872.73047,41872.73047,6100
16-01-2020,41924.73828,42059.44922,41812.28125,41932.55859,41932.55859,6600
17-01-2020,41929.01953,42063.92969,41850.28906,41945.37109,41945.37109,9500
20-01-2020,42263,42273.87109,41503.37109,41528.91016,41528.91016,7500
21-01-2020,41487.57031,41532.58984,41294.30078,41323.80859,41323.80859,8900
22-01-2020,41467.12891,41532.28906,41059.03906,41115.37891,41115.37891,7700
23-01-2020,41191.5,41413.96094,41098.91016,41386.39844,41386.39844,9900
24-01-2020,41377.03906,41697.03125,41275.60156,41613.19141,41613.19141,6600
27-01-2020,41510.67969,41516.26953,41122.48047,41155.12109,41155.12109,7000
28-01-2020,41299.67969,41333.25,40869.75,40966.85938,40966.85938,9800
29-01-2020,41131.57031,41334.85938,41108.19141,41198.66016,41198.66016,7800
30-01-2020,41380.14063,41380.14063,40829.91016,40913.82031,40913.82031,6700
31-01-2020,41146.55859,41154.48828,40671.01172,40723.48828,40723.48828,11500
03-02-2020,39701.01953,40014.89844,39563.07031,39872.30859,39872.30859,10600
04-02-2020,40178.73828,40818.94141,40117.46094,40789.37891,40789.37891,15300
05-02-2020,40921.71094,41177,40703.32031,41142.66016,41142.66016,13900
06-02-2020,41209.12891,41405.42969,41113.10938,41306.03125,41306.03125,15000
07-02-2020,41394.41016,41394.41016,41073.35938,41141.85156,41141.85156,15300
